business_id,full_address,open,city,name,latitude,longitude,state,stars,hastv,outdoorseating,attire,alcohol,waiterservice,acceptscreditcards,goodforkids,goodforgroups,pricerange
IceZ4BtTz76eppjNWm-c6A,"1030 NW Grand Ave
Phoenix, AZ 85007",f,Phoenix,Paisley Violin,33.4547647,-112.0865171,AZ,3.5,f,t,casual,full_bar,t,t,f,t,1
QsvRjgQacMMFf8dit7qqDw,"823 S Central Ave
Phoenix, AZ 85004",t,Phoenix,New Garden Restaurant,33.439268,-112.073481,AZ,4.0,f,f,casual,none,t,t,t,t,2
LXhL5X3edNRy7epku6UAEw,"3 S 2nd St
Ste 205
Phoenix, AZ 85004",f,Phoenix,Paradise Bakery,33.4470733,-112.0709775,AZ,4.0,,,,,,,,,
-lOSaCuBRAvX5JBifx-EMw,"455 N 3rd St
Phoenix, AZ 85004",t,Phoenix,Mi Amigo's Mexican Grill,33.4521542,-112.0686202,AZ,3.0,t,t,casual,full_bar,t,t,t,t,2
qsWxbgQwuomXvMseg23DGg,"455 N 3rd
190 Arizona Center
Phoenix, AZ 85004",t,Phoenix,Hooters,33.4523351,-112.0696144,AZ,2.5,t,t,casual,full_bar,t,t,f,t,2
DlCtdbceo4YNSI53cCL2lg,"1418 N Central Ave
Phoenix, AZ 85004",t,Phoenix,The Old Spaghetti Factory,33.46425,-112.074153,AZ,3.0,f,f,casual,full_bar,t,t,t,t,2
kR5i58Pcse1FD9tk-yYLlA,"541 E Van Buren St
Phoenix, AZ 85004",t,Phoenix,Crave Sandwich Cafe & Catering,33.450875,-112.066333,AZ,3.5,f,t,casual,none,f,t,t,t,1
2I666dqzs1XB6xigIKa9bA,"2 N Central Ave
Phoenix, AZ 85004",t,Phoenix,Tom's Tavern & 1929 Grill,33.4484248169655,-112.07480205159,AZ,3.0,t,t,casual,full_bar,t,t,f,t,2
yExYqENb4F6qH6kJxTOaSQ,"333 E Jefferson St
Ste 102
Phoenix, AZ 85004",f,Phoenix,Karim's Cobbler Shop & Deli,33.4458023,-112.0691069,AZ,3.5,t,f,casual,none,f,t,t,t,1
9BH18avE46LlHMvJn67MaA,"130 N Central Ave
Phoenix, AZ 85004",f,Phoenix,The Downtown Deli,33.4499524,-112.0740511,AZ,4.0,f,t,casual,none,f,t,t,t,1
trAvQPp7gps0Btk-2AmLpw,"521 W McDowell Rd
Phoenix, AZ 85003",t,Phoenix,Zoes Kitchen,33.465499,-112.081565,AZ,3.5,f,t,casual,none,f,t,t,t,1
VCQ3VvnVRhibTT8J61xWkw,"620 E Buckeye Rd
Phoenix, AZ 85004",t,Phoenix,Jack in the Box,33.4372015,-112.0656044,AZ,2.0,t,f,casual,,,t,t,t,
s6zzKc7UvwDRxn-BFlhiTg,"455 N 3rd St
Phoenix, AZ 85004",t,Phoenix,Subway,33.4521542,-112.0686202,AZ,2.5,f,t,casual,,f,t,t,t,1
4WcxnNv_lzCIG2eb8O5Mlg,"1 E Jackson St
Phoenix, AZ 85004",f,Phoenix,The Brickhouse,33.44455,-112.073577,AZ,3.5,,,casual,full_bar,,t,f,t,2
gkv2XvXpFgiq4Bb2XK7YmQ,"3 S. 2nd Street
Phoenix, AZ 85004",t,Phoenix,Hard Rock Café,33.446885057319,-112.07107588649,AZ,3.0,t,t,casual,full_bar,t,t,t,t,2
If2DUhmWIvlu2JFc_rR-Bw,"2 N Central Ave
Phoenix, AZ 85004",t,Phoenix,Papa Christo's,33.4484911,-112.0744277,AZ,3.5,t,t,casual,none,f,t,t,t,1
xH5axHFadmc7Veutt376TA,"545 E Mcdowell Rd
Phoenix, AZ 85004",t,Phoenix,McDonald's,33.4653345,-112.0655975,AZ,1.5,f,f,casual,none,f,t,t,t,1
Vvh2Hd4SsZjEEfKLNKAEWw,"2817 N Central Ave
Phoenix, AZ 85004",t,Phoenix,Subway,33.479418,-112.0732961,AZ,4.0,f,f,casual,none,f,t,t,t,
sInUSy63Oh455uWs9p9OqQ,"2600 N Central Ave
Phoenix, AZ 85004",t,Phoenix,Central Cafe,33.4771144,-112.0744197,AZ,4.5,t,f,casual,none,f,t,t,t,1
x8WoC_7WHzXNmt6J13Nbvw,"2633 N Central Ave
Phoenix, AZ 85004",f,Phoenix,Jordan's Mexican Food,33.477594,-112.072914,AZ,2.0,,,,,f,f,f,t,1
wki-Qlp3OWgH0XtZ-Jz_WQ,"1 N Central Ave
Phoenix, AZ 85004",t,Phoenix,Duck & Decanter,33.4483756751795,-112.072706876078,AZ,4.0,f,t,casual,beer_and_wine,f,t,t,t,1
OoHWabV-ym7_HWlHeXTsVA,"2818 N Central Ave
Phoenix, AZ 85004",t,Phoenix,Best of Philly,33.4794824,-112.0740962,AZ,3.5,f,t,casual,none,f,t,t,t,1
oSKT5oZX1NWYaHwOWL5lag,"2815 N Central Ave
Phoenix, AZ 85004",t,Phoenix,Ichi Ban Japanese Restaurant & Sushi,33.4794762,-112.0736809,AZ,3.5,t,f,casual,beer_and_wine,t,t,t,t,2
QAe9UHKsxPdXQovBpaznMQ,"2601 N Central Ave
Phoenix, AZ 85004",f,Phoenix,Schlotzskys Deli,33.476644,-112.0736968,AZ,2.5,f,f,casual,none,f,t,t,f,1
q1nDSpmV-FdTBNj6UuZvTg,"2824 N Central Ave
Phoenix, AZ 85004",t,Phoenix,Honey Bear's BBQ,33.4796505,-112.0742162,AZ,3.0,t,t,casual,beer_and_wine,f,t,t,t,2
1-1VcGTL3GyCqUpXZLFTZA,"Chase Field
401 E Jefferson St
Phoenix, AZ 85004",t,Phoenix,Friday's Front Row Sports Grill,33.4453626,-112.0674961,AZ,3.0,t,t,casual,full_bar,t,t,t,t,2
muCl5p-9ut1sY0aKeUeRhw,"1326 N Central Ave
Phoenix, AZ 85004",f,Phoenix,Cheuvront,33.4633319,-112.0741467,AZ,3.5,t,t,casual,full_bar,t,t,f,t,2
oCA2OZcd_Jo_ggVmUx3WVw,"101 E Jackson St
Phoenix, AZ 85004",t,Phoenix,Alice Cooper'stown,33.444801984944,-112.07211772211,AZ,3.5,t,t,casual,full_bar,t,t,t,t,2
eK6KGMKqU_4nB9RdayZD7Q,"602 E Lincoln St
Phoenix, AZ 85004",t,Phoenix,Tee Pee Tap Room,33.442472,-112.065825,AZ,2.5,t,t,casual,full_bar,t,t,f,t,2
jn3OgTqiQIFymRA9U0PTfQ,"401 E Jefferson St
Phoenix, AZ 85004",t,Phoenix,Arizona Baseball Club Restaurant,33.4453626,-112.0674961,AZ,3.5,t,t,casual,full_bar,t,t,t,t,2
odhXwWaYZvD_icIN6f_DbA,"814 N Central Ave
Phoenix, AZ 85004",f,Phoenix,Athenian Express,33.4575099,-112.0741235,AZ,3.5,f,t,casual,none,f,t,t,t,1
avPNEqlXgyBvTXjb-ujQFA,"2835 N 16th St.
#103
Phoenix, AZ 85006",t,Phoenix,Pizza Hut,33.4794961,-112.0469586,AZ,2.0,f,f,casual,none,f,t,t,t,1
ldIxXmxD3Cku0vODGYb9dQ,"2835 N 16th St
Suite 5
Phoenix, AZ 85006",t,Phoenix,Subway,33.4794961,-112.0469586,AZ,2.5,f,f,casual,none,f,t,t,t,1
hWhVP-28LYP3llaMlAJ_JA,"2310 E Mcdowell Rd
Phoenix, AZ 85006",t,Phoenix,Rosita's Place,33.466086,-112.0323491,AZ,4.0,f,f,casual,full_bar,t,t,t,t,1
ixTr1qXUFGTzyaZUuCDDvg,"737 East McDowell Road
Phoenix, AZ 85006",t,Phoenix,Whataburger,33.4654334,-112.063548,AZ,3.0,f,f,casual,none,f,t,t,t,1
ZoQAOnEFnyHjSpomtfqesA,"2022 N 7th St
Phoenix, AZ 85006",f,Phoenix,That's A Wrap,33.4701393,-112.0654347,AZ,4.0,,t,casual,none,f,t,t,f,1
apCfJVnRyaw6oVUBKujpUQ,"1205 E Van Buren St
Phoenix, AZ 85006",t,Phoenix,La Tolteca Mexican Foods,33.45107,-112.055957,AZ,4.0,t,f,casual,beer_and_wine,f,t,t,t,1
ykfTh6HI219NoMsWBxulxw,"1438 E McDowell Rd
Phoenix, AZ 85006",t,Phoenix,Gourmet House Of Hong Kong,33.466043,-112.05026,AZ,3.5,t,f,casual,beer_and_wine,t,t,t,t,1
McdTNj-TUMOlfkHwQWs4rg,"2333 N 16th St
Phoenix, AZ 85006",t,Phoenix,Tacos Mexico,33.4737734,-112.04749,AZ,4.5,t,t,casual,full_bar,,t,t,t,1
tb24fvNJfHhyKEXkKn12Xw,"924 E Roosevelt St
Phoenix, AZ 85006",t,Phoenix,Welcome Diner,33.4588421,-112.0609975,AZ,4.5,f,t,casual,full_bar,t,t,t,t,2
VXIkI9_EbDbYHeO9IzKjJg,"1602 E Roosevelt Rd
Phoenix, AZ 85006",t,Phoenix,Los Altos Ranch Market,33.4599088,-112.04608,AZ,4.5,t,f,casual,beer_and_wine,f,t,t,t,1
VKxn7zmp8nOYT-ZHFZTjgA,"2019 N 16th St
Phoenix, AZ 85006",t,Phoenix,Mariscos Ensenada,33.470153,-112.0474211,AZ,4.5,t,f,casual,full_bar,t,t,t,t,2
rbiRLiFTG098z9JaK3Nshw,"1436 E McDowell Rd
Phoenix, AZ 85006",t,Phoenix,Guanaquito Restaurant,33.4659637,-112.0506694,AZ,4.5,t,f,casual,none,t,t,t,t,1
cgNIBHS2mLdbTRiodAT6EQ,"1017 N 7th St
Phoenix, AZ 85006",t,Phoenix,Tacos De Juarez,33.459347,-112.064755,AZ,4.0,t,f,casual,beer_and_wine,t,t,t,t,1
SZvYxcvYYVRue9MXcEDjsA,"2026 N 7th St
Phoenix, AZ 85006",t,Phoenix,Coco's Family Restaurant,33.4708674,-112.0653819,AZ,3.5,f,f,casual,beer_and_wine,t,t,t,t,1
5-X03Zc0nN7U5eoe8uFUdw,"2201 N 7th St
Phoenix, AZ 85006",f,Phoenix,Coronado Cafe,33.4713,-112.064761,AZ,4.0,f,t,casual,full_bar,t,t,f,f,2
0De3TQ_uSOXwgduKL0va3w,"748 E Mcdowell Rd
Phoenix, AZ 85006",t,Phoenix,Sonic Drive-In,33.4661987,-112.0632154,AZ,3.5,f,t,casual,none,t,t,t,t,1
R6aazv8FB-6BeanY3ag8kw,"2303 N 7th St
Phoenix, AZ 85006",t,Phoenix,MacAlpine's Soda Fountain,33.473125,-112.0650914,AZ,3.5,f,f,casual,none,t,t,t,t,1
Xo9Im4LmIhQrzJcO4R3ZbA,"907 N 14th St
Phoenix, AZ 85006",t,Phoenix,Rito's Market & Mexican Take Out,33.4579361,-112.0520629,AZ,4.5,f,t,casual,none,f,t,t,f,1
TNKr6FelsEqOHnatOgWhog,"2346 E McDowell Rd
Phoenix, AZ 85006",t,Phoenix,Wendy's,33.4660683,-112.0306582,AZ,4.5,t,f,casual,,f,t,t,t,1
NYBx4sdSVrN-I5Q8RfLMPg,"1901 E McDowell Rd
Phoenix, AZ 85006",t,Phoenix,San Carlos Bay Seafood Restaurant,33.4655407,-112.0409279,AZ,4.0,f,f,casual,beer_and_wine,t,t,t,t,2
Cp6JGY5YIRncTV_My9nf9g,"1605 E Garfield St
Phoenix, AZ 85006",t,Phoenix,Mariscos Playa Hermosa,33.4575264,-112.0472803,AZ,4.0,t,f,casual,full_bar,t,t,t,t,2
04HakCR6gEeRYNAoKxkppQ,"1602 E Mcdowell Rd
Phoenix, AZ 85006",t,Phoenix,Hacienda Restaurant,33.4660319,-112.0473925,AZ,3.0,,t,casual,full_bar,t,t,f,t,1
ITyAEjIw9ekv0wXpGHQF1Q,"5024 E McDowell Rd
Phoenix, AZ 85008",t,Phoenix,Subway,33.4658505,-111.9730379,AZ,3.5,f,t,casual,none,,t,f,f,1
q2SZa5g85758iW1L9sSL1g,"1627 N 24th St
Phoenix, AZ 85008",t,Phoenix,Eliana's Restaurant,33.4668576,-112.0298525,AZ,4.0,f,f,casual,none,t,t,t,t,1
po5FyERB4lUZNnBIwnhFlg,"5002 E Mcdowell Rd
Phoenix, AZ 85008",t,Phoenix,Sonic Drive-In,33.4661343,-111.973718,AZ,3.0,f,t,casual,none,t,t,t,t,1
I2IofjP2sHZUkv7pcoc33A,"3164 E McDowell Rd
Phoenix, AZ 85008",t,Phoenix,Burger King,33.466085,-112.013243,AZ,3.0,t,f,casual,none,f,t,t,t,2
VZYMInkjRJVHwXVFqeoMWg,"3215 N Central Ave
Phoenix, AZ 85012",t,Phoenix,Jack-In-the-Box,33.486194,-112.073895,AZ,3.5,,,casual,,,t,t,f,1
_RBUU1y4yJrK0SPAd8z0-w,"5104 E McDowell Rd
Phoenix, AZ 85008",t,Phoenix,Indian Delhi Palace,33.4657562,-111.9718284,AZ,3.5,f,f,casual,full_bar,t,t,t,t,2
WyJuGTwFwoN0k8iX8FsqYw,"1001 N 24th St
Phoenix, AZ 85008",t,Phoenix,Jack-In-the Box Drive Thru,33.458744,-112.029827,AZ,3.0,f,f,casual,none,f,t,t,t,1
PEHJjxdw11TGFma9Zhz3ng,"3102 E McDowell Rd
Phoenix, AZ 85008",t,Phoenix,Red Devil Italian Restaurant & Pizzeria,33.466124,-112.015464,AZ,4.0,t,f,casual,full_bar,t,t,t,t,2
zU8IfotOLryhaz5okWx6cA,"3715 E Van Buren St
Phoenix, AZ 85008",f,Phoenix,Pete's Fish & Chips,33.4509955,-112.0013904,AZ,3.0,,,casual,none,f,t,t,t,1
h2ewvzx8enIwYhNbtIpcZw,"410 N 44th St Ste 180
Phoenix, AZ 85008",t,Phoenix,Gateway Cafe,33.4528001,-111.9898455,AZ,2.5,f,t,casual,none,f,t,t,t,1
xfk9eY8gmwn8qsbyd-W6lQ,"5012 E Van Buren St
Phoenix, AZ 85008",t,Phoenix,Honey Bear's BBQ,33.4514039,-111.973603,AZ,3.0,t,f,casual,beer_and_wine,f,t,t,t,1
_gXpjRIjb5fv5f5IVGXvsw,"1628 N 44th St
Phoenix, AZ 85008",t,Phoenix,Del Taco,33.466688,-111.987753,AZ,3.0,f,f,casual,none,f,t,t,t,1
11TvD4sCfA8GEqLDANpbSQ,"4630 E Van Buren St
Phoenix, AZ 85008",t,Phoenix,Los Jarritos Restaurant,33.4513465,-111.9810889,AZ,3.5,f,f,casual,none,t,f,t,t,1
ZAgPh4v-oOb1g6cdlkKI0g,"326 N 48th St
Phoenix, AZ 85008",t,Phoenix,Phoenix House Of Pizza And Subs,33.4518,-111.9789,AZ,3.5,t,f,casual,none,f,t,t,t,1
2unQHR9uaRxk3dsW6f3MGA,"Cofco Chinese Cultural Ctr
668 N 44th St
Phoenix, AZ 85008",f,Phoenix,Lao Ching Hing,33.4552907,-111.9878697,AZ,3.0,t,f,casual,beer_and_wine,t,t,t,t,2
4rcOm0NnQkBanyS5g7TSNg,"3237 E McDowell Rd
Phoenix, AZ 85008",t,Phoenix,El Nuevo Taquito,33.465718,-112.0112336,AZ,4.0,t,f,casual,none,f,t,t,t,1
s87D-mtAuJ8BluKgYYsXGw,"2831 N 24th St
Phoenix, AZ 85008",t,Phoenix,El Nopalito,33.4796892,-112.0297946,AZ,4.0,t,f,casual,beer_and_wine,t,t,t,t,1
yQONzVpX-DEpGSuKMIov6A,"Cofco Chinese Cultural Center
668 N 44th St, Ste 108
Phoenix, AZ 85008",t,Phoenix,Szechwan Palace,33.4554481,-111.9884856,AZ,3.5,t,f,casual,full_bar,t,t,t,t,2
9tefv6uPxoHhp_OlQQJVXA,"2545 N 32nd St
Phoenix, AZ 85008",t,Phoenix,Canton Wong,33.4766277,-112.0128996,AZ,2.5,,f,casual,none,t,t,t,f,1
Um5VnQXli9IwplV2rmgggg,"2651 N 44th St
Phoenix, AZ 85008",t,Phoenix,Souper Salad,33.478444,-111.9864838,AZ,3.0,f,f,casual,none,t,t,t,t,1
_8Y-XNHmQ76xmxUQIrn0sA,"2303 N 44th St
Ste 16
Phoenix, AZ 85008",t,Phoenix,Blimpie,33.4736745,-111.9862587,AZ,4.0,f,t,casual,none,f,t,t,t,1
rAb_wfdKKPPbcIysjYcW4A,"2801 E Van Buren St
Phoenix, AZ 85008",t,Phoenix,Pozoleria Guerrero,33.450927,-112.0211988,AZ,4.0,t,f,casual,none,t,t,t,t,1
hzUOqxpcnYYBgLlrgvjQYQ,"2547 N 44th St
Phoenix, AZ 85008",t,Phoenix,Applebee's,33.4764103,-111.9864526,AZ,2.0,t,f,casual,full_bar,t,t,t,t,2
5UBAWhxukaPrc_0DalT-3w,"2601 North 44th Street
Phoenix, AZ 85008",t,Phoenix,Taco Bell,33.476956,-111.986944,AZ,3.0,f,f,casual,none,f,t,t,t,1
jzPMl-NoB5F2fwoHX3hN8A,"4001 N Central Ave
Phoenix, AZ 85012",t,Phoenix,Macayo's Mexican Restaurants,33.4926708,-112.0734808,AZ,3.0,t,f,casual,full_bar,t,t,t,t,2
I4L_MJOZsnux3xCU2bLP8Q,"3003 N Central Ave
Ste 118
Phoenix, AZ 85012",t,Phoenix,Cranberry Hills Eatery & Catering,33.4827511,-112.0734569,AZ,3.5,t,t,casual,none,f,t,t,t,1
JN2qXIuDXnV2d8WnSqd28A,"214 E Camelback Rd
Phoenix, AZ 85012",t,Phoenix,Streets of New York,33.5095515,-112.0701304,AZ,3.0,t,t,casual,beer_and_wine,t,t,t,t,2
KIbFaBrZDX7rrYJInkv5Kg,"305 E Thomas Rd
Phoenix, AZ 85012",t,Phoenix,Del Taco,33.4796364,-112.0690845,AZ,3.0,t,f,casual,none,f,t,t,t,1
-AAig9FG0s8gYE4f8GfowQ,"4404 N Central Ave
Phoenix, AZ 85012",t,Phoenix,Pane Bianco,33.5006213,-112.0743113,AZ,4.0,f,t,casual,beer_and_wine,t,t,t,t,2
SfrBXbRdNB_gqPkIgJyKCg,"1331 N 7th St
Phoenix, AZ 85006",t,Phoenix,Bitter Creek Cafe,33.4633481,-112.0640507,AZ,4.0,t,t,casual,none,f,t,t,t,2
7Jmri1RCl9Ksmpi5EoIOZQ,"3111 N Central Ave
Ste 110
Phoenix, AZ 85012",t,Phoenix,Duck & Decanter,33.484705,-112.07333,AZ,4.0,f,t,casual,none,f,t,t,t,1
3xEB9FyFXolq1b_Qn_BFtg,"4240 N Central Ave
Phoenix, AZ 85012",t,Phoenix,George & Dragon Restaurant,33.4978019,-112.074054,AZ,3.5,t,t,casual,full_bar,t,t,f,t,2
SkNUbFJiJtbZjY-S_S0u7g,"50 E Camelback Rd
Phoenix, AZ 85012",f,Phoenix,The Good Egg - Uptown,33.5096052184218,-112.071961359533,AZ,3.5,f,f,casual,none,t,t,t,t,1
g4Eit1EeeEGhTVik6AWYsA,"301 E Indian School Rd
Phoenix, AZ 85012",t,Phoenix,Wendy's,33.4945129,-112.0689256,AZ,1.5,f,f,casual,none,f,t,t,t,1
cIwMq5KNq0ASQzoTP1dE9Q,"5101 N Central Ave
Phoenix, AZ 85012",f,Phoenix,Boston Market,33.5107343896285,-112.073318521973,AZ,4.0,f,f,casual,none,f,t,t,t,1
OkXpdUozVS3vjSRtCoSIvw,"3110 N Central Ave Ste 107
Phoenix, AZ 85012",f,Phoenix,Fusilli's,33.4841425,-112.0746935,AZ,2.5,f,t,,none,f,t,,,1
cjUmPLRT43wN9Z87A9BOpg,"2 E Camelback Rd
Phoenix, AZ 85012",t,Phoenix,Applebee's,33.5095681227152,-112.073327446624,AZ,2.5,t,f,casual,full_bar,t,t,t,t,2
UWrB5H3G-hhiHMy3iKV2ew,"5042 N Central Ave
Phoenix, AZ 85012",t,Phoenix,Cheese 'n Stuff,33.5102286,-112.0741357,AZ,4.5,f,f,casual,none,f,t,t,f,1
zZmhEpiVpRfFQid87-pcOQ,"5050 N Central Ave
Phoenix, AZ 85012",t,Phoenix,Dairy Queen,33.5104095390948,-112.074047388055,AZ,3.5,f,t,casual,none,f,t,t,f,1
-3WVw1TNQbPBzaKCaQQ1AQ,"302 E Flower St
Phoenix, AZ 85012",t,Phoenix,China Chili,33.4859173,-112.0690737,AZ,4.0,f,f,casual,beer_and_wine,t,t,t,t,2
wTiQXYB9fE9rcSZDsZgbtQ,"52 East Camelback Rd.
Phoenix, AZ 85012",f,Phoenix,Sweet Tomatoes,33.509666657083,-112.071740126281,AZ,3.5,f,f,casual,none,f,t,t,t,2
L19_1cG2ALVjdBQ456h26A,"4050 N Central Ave
Phoenix, AZ 85012",t,Phoenix,Yoshi's Restaurant,33.4940597,-112.0741454,AZ,3.0,f,t,casual,none,f,t,t,t,1
OCmmPs_5NBt65ZY7OuG-lA,"3300 N Central Ave Lbby
Phoenix, AZ 85012",t,Phoenix,Sam's Deli Mart,33.6483174,-112.1193731,AZ,4.0,,f,casual,none,f,t,t,t,1
WPSM_oTPceoSnwqQWfAsdg,"3110 N Central Ave
Ste 183
Phoenix, AZ 85012",f,Phoenix,Qdoba Mexican Grill,33.4833078592673,-112.075009830603,AZ,3.0,t,t,casual,none,f,t,t,t,1
5W0WLaM5gue42MQPpcB0lw,"5144 N Central Ave
Phoenix, AZ 85012",f,Phoenix,Katz Delicatessen & Sandwich Shop,33.5126276,-112.0740912,AZ,3.0,,,casual,,,t,t,t,1
3UMcsN9IjoeV8JZvC4apag,"322 East Camelback Rd
Phoenix, AZ 85012",t,Phoenix,Sun Up Brewing,33.5094995,-112.0687616,AZ,3.5,t,t,,beer_and_wine,,t,,t,2
yaTx8l9SrM0qR3Zcdnw5rw,"3838 N Central Ave Ste P6
Phoenix, AZ 85012",f,Phoenix,Le Peep Restaurant On Central,33.4915301,-112.0755533,AZ,3.5,,,casual,,t,,t,t,1
kUGgkYxXxHDhD6mtpQdUNQ,"914 E Camelback Rd
Phoenix, AZ 85014",t,Phoenix,Domino's Pizza,33.5095292,-112.0609579,AZ,3.0,,f,,none,,t,,,2
DeAnVirgOxQnI36V1W158A,"1516 E Thomas Rd
Phoenix, AZ 85014",t,Phoenix,Juan's Authentic Mexican Food,33.4804917,-112.0490225,AZ,4.0,t,f,casual,beer_and_wine,t,t,t,t,1
ML1RJdeZ7bbfMrHvJ7m99A,"1008 E Camelback Rd
Phoenix, AZ 85014",t,Phoenix,Oregano's Pizza Bistro,33.5094801,-112.0601964,AZ,4.0,t,t,casual,full_bar,t,t,t,t,2
nrb_PRgJB-ZOVLD07fikJQ,"6351 N 7th St
Phoenix, AZ 85014",t,Phoenix,Jack in the Box,33.5306963,-112.064714,AZ,2.0,f,f,casual,none,f,t,t,t,1
lFs2xPJ6Nngi6DnHfsX4qA,"926 E Indian School Rd
Phoenix, AZ 85014",t,Phoenix,McDonald's,33.4951243,-112.0618092,AZ,2.0,t,,casual,,,t,t,t,1
-S7aL8dVIiXjCdbTZVn8uA,"5224 N 7th St
Phoenix, AZ 85014",t,Phoenix,Manhattan Pizzeria and Subshop,33.5139355,-112.0652187,AZ,3.5,f,t,casual,none,f,t,t,t,1
FltN1Hnw4n7BORXJH1kaeg,"1588 E Bethany Home Rd
Phoenix, AZ 85014",f,Phoenix,Mediterranean House,33.523734,-112.0479747,AZ,4.0,,f,casual,,t,t,f,t,2
AkOruz5CrCxUmXe1p_WoRg,"914 E Camelback Rd
Phoenix, AZ 85014",t,Phoenix,Cherryblossom Noodle Cafe,33.5095292,-112.0609579,AZ,4.0,f,f,casual,beer_and_wine,t,t,t,t,2
kIvIqHvvFOc6aCutFYIvNg,"1501 E Bethany Home Rd
Phoenix, AZ 85014",t,Phoenix,Taco Bell,33.523756,-112.049638,AZ,2.5,f,f,casual,none,f,t,t,t,1
