B ID,Chicken Wings,Salad,Chinese,American (New),American (Traditional),Buffets,Greek,Cafes,Mediterranean,Japanese,Breakfast & Brunch,Delis,Pizza,Sandwiches,Fast Food,Mexican,Burgers,Barbeque,Seafood,Sushi Bars,Italian
ITyAEjIw9ekv0wXpGHQF1Q,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
q2SZa5g85758iW1L9sSL1g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
po5FyERB4lUZNnBIwnhFlg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
I2IofjP2sHZUkv7pcoc33A,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
VZYMInkjRJVHwXVFqeoMWg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
_RBUU1y4yJrK0SPAd8z0-w,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PEHJjxdw11TGFma9Zhz3ng,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zU8IfotOLryhaz5okWx6cA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
h2ewvzx8enIwYhNbtIpcZw,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xfk9eY8gmwn8qsbyd-W6lQ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11TvD4sCfA8GEqLDANpbSQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2unQHR9uaRxk3dsW6f3MGA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
s87D-mtAuJ8BluKgYYsXGw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9tefv6uPxoHhp_OlQQJVXA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Um5VnQXli9IwplV2rmgggg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rAb_wfdKKPPbcIysjYcW4A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5UBAWhxukaPrc_0DalT-3w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
jzPMl-NoB5F2fwoHX3hN8A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I4L_MJOZsnux3xCU2bLP8Q,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SfrBXbRdNB_gqPkIgJyKCg,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7Jmri1RCl9Ksmpi5EoIOZQ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g4Eit1EeeEGhTVik6AWYsA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
OkXpdUozVS3vjSRtCoSIvw,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
zZmhEpiVpRfFQid87-pcOQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-3WVw1TNQbPBzaKCaQQ1AQ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
wTiQXYB9fE9rcSZDsZgbtQ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
L19_1cG2ALVjdBQ456h26A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
OCmmPs_5NBt65ZY7OuG-lA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeAnVirgOxQnI36V1W158A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ML1RJdeZ7bbfMrHvJ7m99A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-S7aL8dVIiXjCdbTZVn8uA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3CSaqRNvYg7ZdN2zwxwzVw,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
XcwbN5fDlyl8qCttcdDGKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VlG9qxAc4d0em2djaU__xw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PxeX1M8WtyPxX1MuuGIh-g,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
auorqdHiATGZHVd-sd79ZQ,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
od49_DFUJY9louGx80My-A,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LzpR_jE6VIutJ08s2cdRrw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0K35eGvzVRZEirNo5v_WfA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
m9k4BhXgNTBTguxvLNUaEg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
UlShIstbG4Yfh0MpTAEciA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
t54zAs7IftAVb9SKcCRotw,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
XzR49vhfm5ugcPJ3x_c2KQ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18TUn9oiW0k0yB6lheiOvw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ntJAKLAq0cXzzdFgPoo0Iw,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Tk2dSL0TwQeI_zNJmb442A,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KNIw6kwf8LZkrS1lEnaLiw,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X8dNaEFH7LWDt1ORmkfDTg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pfb6VOIiroqDWOebfgWGPQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
HIiVx2mseVWKtx8TKfWC_A,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LYyGQgL60VKdV-p_9OxmWQ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RoErsFPM0A-1SCqD-FRV_Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
T5HYqRADhAL6VPRAacz74Q,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GGhyhajTNKm5yTxtAoaxIw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
TqHTtjPANCBKGsjGBjDoQQ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
PAtgWCLCFRQd_fjnihISOg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WzhHlaEyaHE4KIFfcqC_9g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MU3i2uEyUBntebU6pEyMbw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2r8jGeuYvMkyP2ik_X-Bxw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kjZJsF1juY_pTOw_A8Ve6w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
o3TruOSgOwNgx08QosuWTw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Uov4o_7gRqQKQyjVhWOpVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UxMnY3Dxafucv5cXHyfBSA,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24qSrF_XOrvaHDBy-gLIQg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YSQnaRE4Le6CaonZICFyVQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
yLfYR-PvIzAv9DnEH68Rgw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
u0zjW7rluJgUeQTnaZnkJQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
rVUEZpHQfWI_3kt0lBwaxQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
oEjdNvlluW5_Ng9kewJFBg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
_BhzcKojv1gjdRINe3Gkig,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PuHucejs4LG3hSXnrwi9-g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VWcaFOSFcDwmFquycBzFyQ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
69t2S1u7Rf6qM_c14b42xQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
zMa6YoEekpABg1HZnnTZdg,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Upru5VE0jZ81ZQVVNCK_uA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
_ODHYjCmrb3W9hIGJI1uaA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
y-uHaMLLWQydSyWJawLIUw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nLpV9fo8xml-QHOKyOje2A,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9Dj2we91vaYDVhfq6t-Luw,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
edjCywtqffQ8__vM7POZbw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hLAWdi804nVfTLF7T0rB1Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
T-FM14EE1tt-94eONQEaVA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j0Uc-GuOe-x9_N_IK1KPpA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5Js9G0axfWhbYlB9UgXLww,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N-gqIeVDebI3qgwxf1jMcw,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
yJr24Yy1K6bt2G9fX3_zPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wdEnI9WTLHiqSCH1RdJ40w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
m9Wqqma30o-hH2fAX7dnug,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7SoGPn8dvce7A1aHdBOGLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
TBTaMIaeDw5B79hXDZBtrA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
iNvY0zAlaD_ye7Z6rHu-Ug,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
y9hLY6sdKhxz1puWrp5f2Q,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
RIeWXLMHZQlYprYt1x2f1w,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
9Vu9KhK2-kBSM-FXvxXGNg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
O02yhnk20alGOBw0HcmHGw,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
BicQSnGZnY_yuGEDkhVfnA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ZN9aiuiCPAXWHmV_hB3KXw,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
hqVbmZNLTdR2y7G7oJu9vg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ytcm2DXuJWKPTqCtr6uJ4A,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PeswraYFyhr33CmAK5oW5A,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
dUJMmr6TFrHmiokijXiyUg,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ieYiA4L5gk7S3kZYK0l_dg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
YldXB1hRpnE1CWLF3mvgpQ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4eFIVmbeCvJGCrhzmd-VYA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PxqufEwqzIHAbQGRdZ3bUw,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
EUXT1vSFWaiD_BFmFK8rBg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y3a3RkR97J_ReiKgiMXeJg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hIe65VALe8rxseYECVj08w,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0nyaKW_6QHSJ74OVnDmyhA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
kxDGexkbP30fBvxVI0CzFQ,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
faitVIiNezSN0ogZQSZPWQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
aozcOaCMwOHG8s-lbZ6_gA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cTyBfWfmgL3vgRetyfmtyA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
jw-etWMob2A07geTAVkgEw,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y9V4EebKsaBmvKPlxXVheA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
nW_1gn19lMnS9IF1KlZ-aA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
beSNHSvR9kjE_5vXJ_tlfw,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
V3lQtk1LgwAEcF9j-BzchA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
rGHktXbee4CErLsMrPqbrA,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
kF8JDYpLnbf8AZS9gpHXJg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zTfBa__ldlTdbVgSl5h31Q,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3msnZ6oe0sslHsE1js1QUA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
JqAI4UA2xXPYxvlhzG-i9A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
_BU867oRCLZnDIRmg7S6Wg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kvxrjOmicwb2njvXOJsZRw,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zwJX3eetOhpi-gv4-E4rcQ,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
pTBS-RD0_DZwu-Scp0bWwQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4XJ8gO6cbS6PuZ9dzPsrBg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
pF7uRzygyZsltbmVpjIyvw,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DXBPI8rR9f_IthOGPDWoIQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
nefBMCGgMPvOnASoyO_X1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pv1H9KIGZTDgSaCDuTUjdQ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
VTFx4ADDP6nPnlcMHB1-Ow,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gCQuajbLB3hQQbipYpEtYQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ZN-RG7wkT8MLsmaTPzIW5g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
aVBebzA7D9DpQ-JbiCxQNg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
oMtqDDzpMcFrQwHfeYc1iA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
fyy4WNuchHJBa2zH6L8QQw,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
vB3vEjcw9dfHmgP8ac5ZMQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FzKvQFDbB2bimdftxMO55Q,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
PkBkqQpAoeX3Ogo5HBthQg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4ocBzpAkIrqXvz1Q6Hysjg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
bexPpkHMthuCaeC0g0Lrfg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
53Lq8bak88EtuZyKMmDPmQ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WQJwpYwEFT_QTR-lFIh5mA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-nHYKkSJuQ7zzFZ1veRfPg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3e00b3ic-7J7TcSklYVauw,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DlLduXXSwjkm7OL4Z1iH1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4sE8irsM-l6Y-Npodmx9kA,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
DIYHTgM-YGKWOWLzQ4XVhA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0gQrhOYWdO0XVZEKtOrvaA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WPy74Udv6X8dgxK6F9uxCQ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
n7dkpRLUl7C6zLRRXk_BDg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cuxqnMMmbBV0iE2KJJy60Q,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
q5Vz6JNAGDqAT_P1lB1jVg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Snu39WyiChz0NwFWRMyUvQ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
-KZA7UoULw_pM3jBBUzb8A,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
qXQ3ZBdwI3GlbR5-eYWqNA,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HghAgkxoEpUNZNQbAY485A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4mZ__NR8jLD1k0rYpSbplA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p1ntTC9-CI6x5Y_nUoo6Ag,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nqpUjsD-nUIQCrr15B9W-g,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
lDpZvI18smqlyBeC4YykFA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hgy8A1Wnqyi4M-HJIFLpyQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
gxQBcIpzjGPCh9Gbncu0qA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oqZPXoenkQvAKQJ2pDCo0A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IcuPhhH7QCOCT19EDEppEw,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5MlUPatQxg4GZhkPwGIvrQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
doEZAj-NSnoEMOJl5yXcNw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VpQZo6KV8CqkIG_MRQ3jiA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4zBdx_EZFaDFJ9MvqxYNeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
vWcUrFcweGXAWsil_pfpjw,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
d9JDpGG6Rowq7L4FWBI86A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
r7Ge8_c5Y2TXthb4CSjzaA,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
qdI9KaRhOzaJRK0dvGUSaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VQtMFcgkRz7MCIo9sPDaeg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4T-oySmxM_-ojR_nTqF7pA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
dvjYiddhJ2HrosdSBAqngg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
LGLOtR2e-v74MpB51k8hxQ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
u5o4H8h0sIVhqa8Lcusi5g,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
2RxIERKZi5gjLW76MkFotQ,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
