attributes.Ambience.divey,attributes.Dietary Restrictions.vegan,attributes.Happy Hour,hours.Thursday.open,attributes.Order at Counter,attributes.Hair Types Specialized In.africanamerican,attributes.Hair Types Specialized In.kids,attributes.BYOB,hours.Friday.open,attributes.Good For.latenight,attributes.Outdoor Seating,attributes.Alcohol,attributes.Ambience.classy,attributes.By Appointment Only,attributes.Parking.lot,business_id,attributes.Ambience.touristy,attributes.Corkage,hours.Tuesday.open,attributes.Good For.brunch,categories,attributes.Waiter Service,hours.Monday.open,name,attributes.Parking.street,attributes.Ambience.hipster,attributes.BYOB/Corkage,attributes.Hair Types Specialized In.straightperms,attributes.Music.live,attributes.Dietary Restrictions.dairy-free,attributes.Music.background_music,attributes.Price Range,attributes.Good For.breakfast,attributes.Parking.garage,attributes.Music.karaoke,attributes.Good For Dancing,review_count,attributes.Hair Types Specialized In.asian,state,attributes.Accepts Credit Cards,hours.Friday.close,attributes.Good For.lunch,attributes.Parking.valet,attributes.Take-out,full_address,hours.Thursday.close,attributes.Hair Types Specialized In.coloring,attributes.Good For.dessert,attributes.Music.video,attributes.Dietary Restrictions.halal,attributes.Takes Reservations,hours.Saturday.open,attributes.Ages Allowed,attributes.Ambience.trendy,attributes.Delivery,hours.Wednesday.close,attributes.Wi-Fi,open,city,attributes.Wheelchair Accessible,attributes.Dietary Restrictions.gluten-free,stars,attributes.Dietary Restrictions.kosher,type,attributes.Caters,attributes.Ambience.intimate,latitude,attributes.Good For.dinner,attributes.Coat Check,longitude,hours.Monday.close,attributes.Hair Types Specialized In.extensions,hours.Tuesday.close,hours.Saturday.close,attributes.Good for Kids,attributes.Parking.validated,hours.Sunday.open,attributes.Accepts Insurance,attributes.Music.dj,attributes.Dietary Restrictions.soy-free,attributes.Has TV,hours.Sunday.close,attributes.Ambience.casual,attributes.Hair Types Specialized In.perms,attributes.Dogs Allowed,attributes.Drive-Thru,attributes.Dietary Restrictions.vegetarian,hours.Wednesday.open,attributes.Noise Level,attributes.Smoking,attributes.Attire,attributes.Hair Types Specialized In.curly,attributes.Good For Groups,neighborhoods,attributes.Open 24 Hours,attributes.Ambience.romantic,attributes.Music.jukebox,attributes.Ambience.upscale
,,,,,,,,,1,1,2,,,0,nc3IiY5LNdmEwUZCW84yuA,,,,0,"['Pizza', 'Restaurants']",1,,Pizzeria Uno,0,,,,,,,2,0,1,,,18,,AZ,1,,1,0,1,"455 N 3rd St
Phoenix, AZ 85004",,,0,,,0,,,,0,,,0,Phoenix,1,,2.5,,business,,,33.4521542,1,,-112.0686202,,,,,1,1,,,,,,,,,,,,,,,casual,,1,[],,,,
0,,,,,,,,,0,0,0,0,,1,P7wKlbSRsoRrfH3DFOY08A,0,,,0,"['Breakfast & Brunch', 'Restaurants']",1,,International House of Pancakes,0,0,,,,,,1,1,0,,,57,,AZ,1,,0,0,1,"2508 N Central Ave
Phoenix, AZ 85004",,,0,,,0,,,0,0,,no,1,Phoenix,1,,3,,business,0,0,33.475583,0,,-112.074115,,,,,1,0,,,,,0,,1,,,,,,average,,casual,,1,[],,0,,0
0,,,0.333333333333333,0,,,0,0.333333333333333,0,0,2,0,,1,BESmH-lmMm34_EefL8X9fQ,0,0,0.333333333333333,0,"['Mexican', 'Restaurants']",1,,Comedor Guadalajara,0,0,yes_free,,,,,2,0,0,,,265,,AZ,1,0.875,1,0,1,"1830 S Central Ave
Phoenix, AZ 85004",0.833333333333333,,0,,,0,0.333333333333333,,0,0,0.833333333333333,no,1,Phoenix,1,,4,,business,1,0,33.429424,0,,-112.073929,,,0.625,0.875,1,0,0.333333333333333,,,,0,0.833333333333333,1,,,,,0.333333333333333,average,,casual,,1,[],,0,,0
0,,,0.270833333333333,,,,,0.270833333333333,0,1,1,0,,1,D09yG6Z3gcsh24Qn7Y4gYA,0,,0.270833333333333,0,"['Mexican', 'Restaurants']",0,0.270833333333333,Chico's Tacos,0,0,,,,,,1,0,0,,,89,,AZ,1,0.791666666666667,1,0,1,"530 E McDowell Rd
Ste 103
Phoenix, AZ 85004",0.791666666666667,,0,,,0,0.291666666666667,,0,0,0.791666666666667,free,1,Phoenix,1,,3,,business,1,0,33.4657117,0,,-112.0657286,0.791666666666667,,0.833333333333333,0.708333333333333,1,0,,,,,1,,1,,,,,0.270833333333333,average,,casual,,1,[],,0,,0
0,,,0.4375,,,,0,0.4375,0,1,0,0,,1,kaIue7GRCmkPzDeHDBTttQ,0,,0.4375,0,"['Sushi Bars', 'Japanese', 'Restaurants']",0,0.4375,Phoenix Blue Fin,0,0,no,,,,,1,0,0,,,172,,AZ,1,0.770833333333333,1,0,1,"1401 N Central Ave
Phoenix, AZ 85004",0.770833333333333,,0,,,0,,,0,0,0.770833333333333,no,1,Phoenix,1,,4,,business,1,0,33.4640982988,0,,-112.073569,0.770833333333333,,0.770833333333333,,1,0,,,,,0,,1,,,,,0.4375,average,,casual,,0,[],0,0,,0
0,,1,0.458333333333333,1,,,0,0.458333333333333,0,1,2,0,,0,j8nyAaN_w5t6wYv-ni23sg,0,,0.458333333333333,0,"['Nightlife', 'Bars', 'American (New)', 'Sports Bars', 'Restaurants']",1,0.458333333333333,Coach & Willies,1,0,no,,0,,,2,0,0,,0,73,,AZ,1,0.0833333333333333,1,0,1,"412 S 3rd St
Phoenix, AZ 85004",0.916666666666667,,0,0,,0,0.458333333333333,,0,0,0.916666666666667,free,0,Phoenix,1,,3,,business,1,0,33.443909,1,0,-112.070122,0.916666666666667,,0.916666666666667,0.0833333333333333,0,0,0.458333333333333,,0,,1,0.833333333333333,1,,1,,,0.458333333333333,average,outdoor,casual,,1,[],,0,1,0
,,1,,1,,,,,0,1,0,,,0,5XIvwfbIa-vuFEkkeCQ6kQ,,,,0,"['Bars', 'American (New)', 'Restaurants', 'Sports Bars', 'Nightlife']",1,,Jackson's On 3rd,0,,,,,,,2,0,0,,,9,,AZ,1,,0,0,1,"245 E Jackson St
Phoenix, AZ 85004",,,0,,,0,,,,0,,,0,Phoenix,1,,2,,business,,,33.4450359,0,0,-112.0706266,,,,,0,0,,,,,,,,,,,,,,outdoor,casual,,1,[],,,,
,1,,,0,,,0,,1,1,2,,,0,VsO_rhXi5lgbaGxNwoEZsQ,,0,,0,"['Asian Fusion', 'Chinese', 'Restaurants']",1,,Fate 905,1,,no,,,1,,2,0,0,,,90,,AZ,1,,0,0,1,"905 N 4th St
Phoenix, AZ 85004",,,0,,0,1,,,,0,,,0,Phoenix,1,0,3,0,business,,,33.4579128,1,,-112.0686777,,,,,0,0,,,,0,,,,,,,1,,,,casual,,0,[],0,,,
0,,,0.375,,,,,0.291666666666667,0,1,2,0,,0,Y293fHh5SZ0_9BZm4M6BCg,0,,0.375,0,"['Greek', 'Mexican', 'Restaurants']",1,0.375,Matador Restaurant,1,0,,,,,,2,0,1,,,57,,AZ,1,0.916666666666667,1,0,1,"125 E Adams St
Phoenix, AZ 85004",0.875,,0,,,1,0.291666666666667,,0,1,0.875,free,0,Phoenix,1,,3,,business,0,0,33.4493093,1,,-112.07194,0.875,,0.875,0.916666666666667,1,1,0.291666666666667,,,,0,0.916666666666667,1,,,,,0.375,average,,casual,,1,[],,0,,0
0,0,,0.25,,,,,0.25,0,1,2,0,,0,IceZ4BtTz76eppjNWm-c6A,0,,0.25,0,"['Greek', 'Mediterranean', 'Restaurants']",1,0.25,Paisley Violin,1,0,yes_corkage,,,0,,1,0,0,,,59,,AZ,1,0,1,0,1,"1030 NW Grand Ave
Phoenix, AZ 85007",0.916666666666667,,0,,0,1,0.375,,0,1,0.916666666666667,free,0,Phoenix,1,0,3.5,0,business,1,0,33.4547647,1,,-112.0865171,0.916666666666667,,0.916666666666667,0,0,0,,,,0,0,,1,,,,1,0.25,average,,casual,,1,[],0,0,,0
0,,,,,,,,,0,0,0,0,,0,QsvRjgQacMMFf8dit7qqDw,0,,,0,"['Chinese', 'Restaurants']",1,,New Garden Restaurant,0,0,,,,,,2,0,0,,,18,,AZ,1,,0,0,1,"823 S Central Ave
Phoenix, AZ 85004",,,0,,,0,,,0,0,,no,1,Phoenix,,,4,,business,1,0,33.439268,0,,-112.073481,,,,,1,0,,,,,0,,0,,,,,,quiet,,casual,,1,[],,0,,0
,,,,,,,,,,,,,,,LXhL5X3edNRy7epku6UAEw,,,,,"['Bakeries', 'Food', 'Breakfast & Brunch', 'Restaurants']",,,Paradise Bakery,,,,,,,,,,,,,7,,AZ,,,,,,"3 S 2nd St
Ste 205
Phoenix, AZ 85004",,,,,,,,,,,,,0,Phoenix,,,4,,business,,,33.4470733,,,-112.0709775,,,,,,,,,,,,,,,,,,,,,,,,[],,,,
0,,,0.458333333333333,,,,,0.458333333333333,0,1,2,0,,0,=-lOSaCuBRAvX5JBifx-EMw,0,,0.458333333333333,0,"['Mexican', 'Restaurants']",1,0.458333333333333,Mi Amigo's Mexican Grill,0,0,,,,,,2,0,1,,,129,,AZ,1,0.958333333333333,1,0,1,"455 N 3rd St
Phoenix, AZ 85004",0.916666666666667,,0,,,1,0.458333333333333,,0,0,0.916666666666667,no,1,Phoenix,1,,3,,business,1,0,33.4521542,0,,-112.0686202,0.916666666666667,,0.916666666666667,0.958333333333333,1,0,0.458333333333333,,,,1,0.875,1,,,,,0.458333333333333,average,,casual,,1,[],0,0,,0
0,,,,,,,,,0,1,0,0,,0,XI-_Y2XRw03mozGx0Z90Gw,0,,,0,"['Mexican', 'Restaurants']",0,,Baja Fresh Mexican Grill,1,0,,,,,,1,0,0,,,21,,AZ,1,,1,0,1,"50 N Central Ave
Phoenix, AZ 85004",,,0,,,0,,,0,0,,,0,Phoenix,1,,3.5,,business,,0,33.4487514,0,,-112.0738147,,,,,1,0,,,,,0,,0,,,,,,loud,,casual,,1,[],,0,,0
0,,1,,0,,,,,0,1,2,0,,0,qsWxbgQwuomXvMseg23DGg,0,0,,0,"['Bars', 'American (Traditional)', 'Sports Bars', 'Nightlife', 'Chicken Wings', 'Restaurants']",1,,Hooters,0,0,yes_free,,,,,2,0,1,,0,113,,AZ,1,,1,0,1,"455 N 3rd
190 Arizona Center
Phoenix, AZ 85004",,,0,,,0,,,0,0,,free,1,Phoenix,1,,2.5,,business,0,0,33.4523351,0,0,-112.0696144,,,,,0,0,,,0,,1,,1,,,,,,average,outdoor,casual,,1,[],,0,,0
0,,,0.458333333333333,0,,,,0.458333333333333,0,0,2,0,,1,DlCtdbceo4YNSI53cCL2lg,0,,0.458333333333333,0,"['Restaurants', 'Italian']",1,0.458333333333333,The Old Spaghetti Factory,0,0,,,,,,2,0,0,,,275,,AZ,1,0.916666666666667,0,0,1,"1418 N Central Ave
Phoenix, AZ 85004",0.895833333333333,,0,,,1,0.479166666666667,,0,0,0.895833333333333,no,1,Phoenix,1,,3,,business,1,0,33.46425,1,,-112.074153,0.895833333333333,,0.895833333333333,0.916666666666667,1,0,0.479166666666667,,,,0,0.895833333333333,1,,,,,0.458333333333333,average,,casual,,1,[],,0,,0
0,,,0.291666666666667,,,,,0.291666666666667,0,1,0,0,,0,kR5i58Pcse1FD9tk-yYLlA,0,,0.291666666666667,0,"['Event Planning & Services', 'Caterers', 'Sandwiches', 'Restaurants']",0,0.291666666666667,Crave Sandwich Cafe & Catering,1,0,,,,,,1,0,0,,,25,,AZ,1,0.583333333333333,1,0,1,"541 E Van Buren St
Phoenix, AZ 85004",0.75,,0,,,0,,,0,1,0.708333333333333,free,1,Phoenix,1,,3.5,,business,1,0,33.450875,0,,-112.066333,0.708333333333333,,0.75,,1,0,,,,,0,,0,,,,,0.291666666666667,average,,casual,,1,[],,0,,0
0,,,0.4375,,,,,0.4375,0,1,2,0,,0,2I666dqzs1XB6xigIKa9bA,0,,0.4375,0,"['American (Traditional)', 'Restaurants']",1,0.4375,Tom's Tavern & 1929 Grill,1,0,,,,,,2,0,1,,,78,,AZ,1,0.875,1,0,1,"2 N Central Ave
Phoenix, AZ 85004",0.833333333333333,,0,,,1,,,0,0,0.833333333333333,free,1,Phoenix,1,,3,,business,1,0,33.448424817,0,,-112.074802052,0.833333333333333,,0.833333333333333,,0,0,0.416666666666667,,,,1,0.75,1,,0,,,0.4375,average,,casual,,1,[],,0,,0
,,,,,,,,,0,0,0,,,0,yExYqENb4F6qH6kJxTOaSQ,,,,0,"['Delis', 'Restaurants']",0,,Karim's Cobbler Shop & Deli,0,,,,,,,1,0,1,,,19,,AZ,1,,1,0,1,"333 E Jefferson St
Ste 102
Phoenix, AZ 85004",,,0,,,0,,,,,,,0,Phoenix,1,,3.5,,business,1,,33.4458023,0,,-112.0691069,,,,,1,0,,,,,1,,,,,,,,,,casual,,1,[],,,,
0,,,0.291666666666667,,,,,0.291666666666667,0,1,0,0,,0,9BH18avE46LlHMvJn67MaA,0,,0.291666666666667,0,"['Breakfast & Brunch', 'Delis', 'Sandwiches', 'Restaurants']",0,0.291666666666667,The Downtown Deli,1,0,,,,,,1,0,0,,,57,,AZ,1,0.625,1,0,1,"130 N Central Ave
Phoenix, AZ 85004",0.625,,0,,,0,,,0,1,0.625,free,0,Phoenix,1,,4,,business,1,0,33.4499524,0,,-112.0740511,0.625,,0.625,,1,0,,,,,0,,1,,,,,0.291666666666667,average,,casual,,1,[],,0,,0
0,,,0.416666666666667,1,,,0,0.416666666666667,0,1,0,0,,1,trAvQPp7gps0Btk-2AmLpw,0,0,0.416666666666667,0,"['Greek', 'Mediterranean', 'Sandwiches', 'Restaurants']",0,0.416666666666667,Zoes Kitchen,0,0,yes_free,,,,,1,0,0,,,127,,AZ,1,0.875,1,0,1,"521 W McDowell Rd
Phoenix, AZ 85003",0.875,,0,,,0,0.416666666666667,,0,0,0.875,free,1,Phoenix,1,,3.5,,business,1,0,33.465499,0,,-112.081565,0.875,,0.875,0.875,1,0,0.416666666666667,,,,0,0.875,1,,,,,0.416666666666667,average,,casual,,1,[],,0,,0
,,,,,,,,,,0,,,,,VCQ3VvnVRhibTT8J61xWkw,,,,,"['Fast Food', 'Restaurants']",,,Jack in the Box,,,,,,,,,,,,,5,,AZ,1,,,,1,"620 E Buckeye Rd
Phoenix, AZ 85004",,,,,,0,,,,0,,,1,Phoenix,,,2,,business,,,33.4372015,,,-112.0656044,,,,,1,,,,,,1,,,,,1,,,,,casual,,1,[],,,,
,,,,,,,,,0,1,,,,,s6zzKc7UvwDRxn-BFlhiTg,,,,0,"['Fast Food', 'Sandwiches', 'Restaurants']",0,,Subway,,,,,,,,1,0,,,,6,,AZ,1,,0,,1,"455 N 3rd St
Phoenix, AZ 85004",,,0,,,0,,,,0,,,1,Phoenix,,,2.5,,business,,,33.4521542,0,,-112.0686202,,,,,1,,,,,,0,,,,,,,,,,casual,,1,[],,,,
,,1,,,,,,,0,,2,,,1,4WcxnNv_lzCIG2eb8O5Mlg,,,,0,"['Arts & Entertainment', 'American (Traditional)', 'Nightlife', 'Music Venues', 'Restaurants']",,,The Brickhouse,1,,,,1,,,2,0,0,,,7,,AZ,1,,0,0,,"1 E Jackson St
Phoenix, AZ 85004",,,0,0,,,,,,,,,0,Phoenix,1,,3.5,,business,,,33.44455,0,,-112.073577,,,,,0,0,,,0,,,,,,,,,,,outdoor,casual,,1,[],,,0,
0,,1,0.458333333333333,,,,0,0.458333333333333,0,1,2,0,,0,gkv2XvXpFgiq4Bb2XK7YmQ,1,0,0.458333333333333,0,"['Arts & Entertainment', 'Music Venues', 'Burgers', 'Nightlife', 'American (New)', 'Restaurants']",1,0.458333333333333,Hard Rock Café,1,0,yes_free,,,,,2,0,0,,0,124,,AZ,1,0,0,0,1,"3 S. 2nd Street
Phoenix, AZ 85004",0.958333333333333,,0,,,1,0.458333333333333,,0,0,0.958333333333333,free,1,Phoenix,1,,3,,business,0,0,33.4468850573,1,0,-112.071075886,0.958333333333333,,0.958333333333333,0,1,0,0.458333333333333,,0,,1,0.958333333333333,0,,,0,,0.458333333333333,average,no,casual,,1,[],,0,,0
0,,,,,,,,,0,1,0,0,,0,If2DUhmWIvlu2JFc_rR-Bw,0,,,0,"['Italian', 'Pizza', 'Sandwiches', 'Restaurants']",0,,Papa Christo's,1,0,,,,,,1,0,0,,,26,,AZ,1,,1,0,1,"2 N Central Ave
Phoenix, AZ 85004",,,0,,,0,,,0,0,,no,1,Phoenix,1,,3.5,,business,1,0,33.4484911,0,,-112.0744277,,,,,1,0,,,,,1,,1,,,,,,average,,casual,,1,[],,0,,0
0,,,,,,,,,0,0,0,0,,1,xH5axHFadmc7Veutt376TA,0,,,0,"['Burgers', 'Fast Food', 'Restaurants']",0,,McDonald's,0,0,,,,,,1,0,0,,,20,,AZ,1,,0,0,1,"545 E Mcdowell Rd
Phoenix, AZ 85004",,,0,,,0,,,0,0,,free,1,Phoenix,,,1.5,,business,0,0,33.4653345,0,,-112.0655975,,,,,1,0,,,,,0,,0,,,1,,,very_loud,,casual,,1,[],,0,,0
,,,,,,,,,0,0,0,,,0,Vvh2Hd4SsZjEEfKLNKAEWw,,,,0,"['Fast Food', 'Sandwiches', 'Restaurants']",0,,Subway,0,,,,,,,,0,0,,,12,,AZ,1,,1,0,1,"2817 N Central Ave
Phoenix, AZ 85004",,,0,,,0,,,,0,,,1,Phoenix,1,,4,,business,,,33.479418,0,,-112.0732961,,,,,1,0,,,,,0,,,,,0,,,average,,casual,,1,[],,,,
0,,,0.291666666666667,,,,,0.291666666666667,0,0,0,0,,0,sInUSy63Oh455uWs9p9OqQ,0,,0.291666666666667,0,"['Cafes', 'Restaurants']",0,0.291666666666667,Central Cafe,0,0,,,,,,1,0,0,,,7,,AZ,1,0.625,0,0,1,"2600 N Central Ave
Phoenix, AZ 85004",0.625,,0,,,0,,,0,1,0.625,no,1,Phoenix,1,,4.5,,business,0,0,33.4771144,0,,-112.0744197,0.625,,0.625,,1,0,,,,,1,,0,,,,,0.291666666666667,average,,casual,,1,[],,0,,0
,,,,,,,,,,,,,,,x8WoC_7WHzXNmt6J13Nbvw,,,,,"['Mexican', 'Restaurants']",0,,Jordan's Mexican Food,,,,,,,,1,,,,,4,,AZ,0,,,,,"2633 N Central Ave
Phoenix, AZ 85004",,,,,,,,,,,,no,0,Phoenix,,,2,,business,,,33.477594,,,-112.072914,,,,,0,,,,,,,,,,,,,,,,,,1,[],,,,
0,,0,0.291666666666667,,,,,0.291666666666667,0,1,1,0,,0,wki-Qlp3OWgH0XtZ-Jz_WQ,0,,0.291666666666667,0,"['Delis', 'Sandwiches', 'Restaurants']",0,0.291666666666667,Duck & Decanter,1,0,,,,,,1,0,1,,0,50,,AZ,1,0.75,1,0,1,"1 N Central Ave
Phoenix, AZ 85004",0.791666666666667,,0,,,0,,,0,1,0.791666666666667,free,1,Phoenix,1,,4,,business,1,0,33.4483756752,0,0,-112.072706876,0.791666666666667,,0.791666666666667,,1,1,,,0,,0,,1,,1,,,0.291666666666667,average,,casual,,1,[],,0,,0
0,,,0.375,,,,,0.375,0,1,0,0,,1,OoHWabV-ym7_HWlHeXTsVA,0,,0.375,0,"['Cheesesteaks', 'Sandwiches', 'Restaurants']",0,0.375,Best of Philly,0,0,,,,,,1,0,0,,,65,,AZ,1,0.666666666666667,1,0,1,"2818 N Central Ave
Phoenix, AZ 85004",0.666666666666667,,0,,,0,0.4375,,0,0,0.666666666666667,no,1,Phoenix,1,,3.5,,business,0,0,33.4794824,0,,-112.0740962,0.666666666666667,,0.666666666666667,0.666666666666667,1,0,,,,,0,,1,,,,,0.375,average,,casual,,1,[],,0,,0
