business_id,takeout,drivethru,caters,noiselevel,takesreservations,delivery,hastv,outdoorseating,attire,alcohol,waiterservice,acceptscreditcards,goodforkids,goodforgroups,pricerange,rating_category
IYWTOj970XqG2z9Xft_8SA,t,,t,average,f,f,f,t,casual,none,f,t,t,t,1,low
1sdIDMz5ntCHrClzCgjgJA,t,f,t,,f,f,f,f,casual,none,,t,t,t,1,low
wZwZcte4lcbu51NOzCjWbQ,t,,t,loud,t,f,t,t,casual,full_bar,t,t,t,t,2,
y2wWQI1gx8Zu5pP_WZSR-A,t,t,,,f,f,t,t,casual,,,t,t,t,1,low
ZgVT6Ui2pHgp0tqeIIJsPA,,,,,f,,,,,,f,t,t,f,1,low
bbi230ds25DLJ093eaSryQ,t,,,,f,f,,,casual,,,t,t,f,1,low
UNFcMOWOsr9ilM6lqXIC6w,t,,f,average,f,f,f,f,casual,none,f,t,t,t,1,
xdmT9sejRDEyud8YFbEcjg,t,,f,average,t,f,t,f,casual,full_bar,t,t,t,t,2,low
Fd0mINs0v_cma-ORPDBQSQ,t,f,f,average,f,f,f,t,casual,none,f,t,t,t,1,
uNzmm8lpdwOggqQ3Vu7vMA,t,,,,f,f,f,f,casual,none,f,f,,,1,low
qGuI5WK7-MVnPA6o2DGBAA,t,,f,quiet,f,f,t,f,casual,none,t,t,t,t,1,low
7S6m2YUMD3RqIdmkd1twcA,t,t,f,average,f,f,f,f,casual,none,f,t,f,f,1,low
FqEsXFhkFKCfMiz_QqUKTA,t,t,t,average,f,f,f,f,casual,none,f,t,t,t,1,low
g4y3_YqR4jmfCP9K0TzxrQ,t,,f,average,f,f,t,t,casual,full_bar,t,t,f,t,1,
10VZ8KEshqD5twjcmZ-eaw,t,,,very_loud,,,,f,casual,,t,t,f,t,1,
oXUceqbZEAKclrIXE-erYw,t,f,t,average,f,t,t,t,casual,beer_and_wine,t,t,t,t,2,
gKqsv37BaAT_jxfWgDlmVg,t,,,,f,f,,t,casual,none,f,t,t,t,1,
PdRzCJWP7nPdYoHPdd5SOQ,t,,f,average,t,f,t,t,casual,full_bar,t,t,f,t,2,
JSX7i-cfoixVtnCx4BNb1g,t,f,f,quiet,f,f,t,f,casual,none,t,t,t,t,1,
i4X_iu_29PkhL2zsIRpueQ,,,,quiet,f,,t,f,casual,none,t,t,t,t,1,
GGXtuLHpWWhkUpVynhFHWw,t,t,,average,f,f,f,f,casual,none,f,t,t,t,1,low
Xsl-i1otDd3GXJEkkKJCaw,t,,f,quiet,f,f,f,f,casual,beer_and_wine,t,t,t,t,1,
0vFCASHpp2VBeTuVus4MOg,t,,,average,f,f,f,f,casual,none,f,t,t,t,1,low
PQ-6WWl4A0VkZzhRCEacVA,t,,,,,f,,f,casual,,t,t,t,t,1,low
K3ujPUNW6NNIZv_hRI_yrQ,t,t,f,average,f,f,f,f,casual,none,f,t,t,t,1,
gA5CuBxF-0CnOpGnryWJdQ,t,,t,average,f,t,t,f,casual,none,f,t,t,t,1,
VlfBIVmtmGYkTq1xbdBIDw,t,t,f,average,f,f,f,f,casual,none,f,t,t,t,1,low
JRa9McAeE1W7XyoLNaGI3g,t,t,f,average,f,f,f,f,casual,none,f,t,t,t,1,low
0vb_YDCtZo0Yk9zHF7rzSA,t,f,f,,f,t,f,f,casual,none,,t,t,t,1,low
eressGqUoS0tapol9bv-CA,t,,t,,f,t,,,,,,t,,,1,low
ho6IK-8e6owpzRLpgqB2yQ,t,t,,loud,f,f,,,casual,,f,t,t,t,1,low
NaXqRvoW2Zg2wSghf9JqaA,t,,t,average,f,t,f,f,casual,none,f,t,t,t,1,
eI7bKGWMMdOFf3Nxo6Q4jw,t,,f,very_loud,f,f,t,f,casual,full_bar,t,t,t,t,2,low
TOIu2nR0536vGjSP6Ab_Iw,t,,,,f,f,,f,casual,none,f,t,f,f,1,
gF5zLXzjQ0hqli5Xn3Pccw,t,,,,f,t,,,casual,none,,t,f,f,2,low
uB_d4EZ6Jv1smugIhlIYhw,t,,t,average,f,f,,,casual,,,t,t,t,1,low
4aHi_FH2eP9c25Smb35AZg,t,,,,f,,,f,casual,,t,t,,t,1,
-0bUDim5OGuv8R0Qqq6J4A,t,,,,f,f,,f,casual,,t,t,t,t,1,low
jYtU-YTynMjgLRi2pYMwiA,t,f,t,average,f,f,,,casual,none,f,t,t,t,1,
za5sHh-jpdMtQEmmV8gbnw,t,f,,loud,f,f,f,t,casual,none,f,t,t,f,1,low
p4q6LcHoC-W8XoKfXNoJeQ,t,t,,,f,f,f,t,casual,,,t,t,f,2,
tEvGNTPLV01OiUt_SKn2Ww,t,t,,,f,f,,,casual,,,t,t,t,1,low
pfTvVee_dAieMqoeomVtTg,t,t,,average,f,f,t,f,casual,none,f,t,t,t,1,
vJPehU-xd1p_-L0O7IwTjQ,t,,,,f,f,f,f,casual,,,t,t,t,1,low
wEsor9I2DcyYoR3brlqIMw,t,,f,average,f,f,f,t,casual,none,t,t,t,t,1,low
iYr8t8RVPCiWABBO4I6HgA,t,,f,average,f,f,f,f,casual,none,f,t,t,t,1,low
lykHOB7mmtC05NzlhyvbpA,t,,f,quiet,f,t,f,f,casual,none,f,t,t,t,2,
EFxaUHb6UwOpsvIIdZk-Ng,t,,f,average,f,f,t,f,casual,none,f,t,t,t,1,low
_-TRcD1fi3Eq6U0tEb6Qnw,t,,,,t,f,,t,casual,full_bar,t,t,t,t,2,
bsDkiuoIA7_ecWTjG6ifwA,t,t,f,loud,f,f,f,f,casual,none,f,t,t,f,1,low
0EBR4wDqtkbMC-wghpctEg,t,,f,quiet,f,f,f,f,casual,none,f,t,t,t,1,
0_3hrGrrP-J5eeHRwQfZ6w,t,,t,average,t,f,f,t,casual,full_bar,t,t,t,t,2,
XBpxFy0h7KE-GtKuCX2JQw,t,t,,,f,f,f,t,casual,,t,t,t,f,1,
35Om8exyCLHWeijbxDPB1w,t,t,f,average,f,f,f,f,casual,none,f,t,t,t,1,
Jt1tVmCN1jwnXc3sSULqTQ,t,t,f,quiet,f,f,f,f,casual,none,f,t,t,t,1,
Sodko0hlMg7F5doNJGKcWQ,t,,t,average,t,f,t,f,casual,full_bar,t,t,t,t,2,
wJGJt3NPaHvE-GMIeN-H5Q,t,t,f,average,f,f,f,f,casual,none,f,t,t,t,1,
8bb8t2Y8y5vlMQ3dYi3Uvg,t,t,f,average,f,f,f,f,casual,none,f,t,t,t,1,
I3KRHQvoLB6O_MZ2-UpynQ,t,,,average,f,t,t,f,casual,none,f,t,t,f,1,
iAHNZo6GF4C3N-z8u2C_ww,t,t,f,average,f,f,f,f,casual,none,,t,t,t,2,
apEkYsUz31lI3tcJoC4HbA,t,,t,average,t,f,t,f,casual,full_bar,t,t,t,t,2,
9LWHrYjDQNjFSNH6VbSFrg,t,,t,quiet,t,t,f,f,casual,full_bar,t,t,t,t,1,
1B5vpxnZYXKil_k5d5MpEQ,t,t,,average,f,f,t,f,casual,none,f,t,t,t,1,
TLFPee56Ki7cJKZ8zpl-Pw,t,,,,f,f,f,f,casual,,t,t,t,t,1,low
R2M90cHdYRUYVB4VzA_fYg,t,,f,average,f,f,f,f,casual,none,f,t,t,t,1,low
ojCJLdq4pLIvumBdEtxN_Q,t,,f,very_loud,f,f,t,f,casual,none,f,t,t,t,1,
gBexinoctpKpwhyxAMZ_wA,t,,f,loud,t,f,t,f,casual,beer_and_wine,t,t,t,t,1,low
w4NZRieE41M--lCZ5su0uw,t,,,,,f,,,,,,,t,t,1,low
o70dr8iwKpHpg0_wjkA0Rw,t,,,,f,f,f,f,casual,,,t,t,f,2,low
ot4Of_A9onKHoVt4XU7v5g,t,t,f,quiet,f,f,f,t,casual,none,t,t,t,t,1,low
AMvEtuSRdXzb4abwFgL8Dw,t,t,t,quiet,f,f,f,f,casual,none,f,t,f,f,1,low
4jxKmU2No9hGWCZuYPjeLQ,t,,,,f,f,f,,,none,,t,t,t,,low
8s392ZpX8dfO5Ol2RdQISQ,t,t,t,average,f,f,f,f,casual,none,f,t,t,t,1,
ycFghD0OZyf9i4mRkD6o6Q,,,,,,,,,,,,,,,3,low
Vb1tNz0Tlm1q41A4gjY-cg,,,,,f,,,f,,,,t,,t,2,low
6xL5fCfx9qxcXCwn7_oE0w,t,f,,,f,t,,f,,none,f,t,t,,2,low
YBVQik4ySvAlvxobuFcXDA,t,,,average,f,t,t,t,casual,beer_and_wine,t,t,t,t,2,low
ZE4n6W-ppcpv_sF_RH3xOw,t,,,,f,f,,f,casual,,,t,t,t,1,low
mVcSgP9JneHL4oz9FQPhnw,t,,,loud,f,f,t,f,casual,full_bar,t,t,t,f,2,
rLv5DPLnO67TCHIbbBWYPA,t,,t,average,f,f,t,f,casual,full_bar,t,t,t,t,2,low
YHGpemLe7cbnPSubG-cRRg,t,t,f,quiet,f,f,t,f,casual,none,f,t,t,f,1,low
pdsK3YZfXZbzOEVpGNcilg,t,,f,average,f,f,f,f,casual,none,t,t,t,t,1,
LJ0ARWpYvsO7T4kCe1Jpcg,t,,,,f,f,,,,,,t,t,t,,low
o4hq3viC3_T8mAmZAtvx1A,t,,,,f,f,,,,,,t,t,t,1,low
3uGE4jy0FQJ4miKr4PycjA,t,,,,f,t,,f,casual,,f,t,t,f,1,low
A0c5KmspCG9TMOZkjLWaTA,,,,,t,f,,t,dressy,,t,,f,t,3,low
GoWTsb8sGyJ026a3cbw03Q,t,,,average,f,f,t,t,casual,none,f,t,t,t,1,
nU1xvCBFBVkahDrZSoN2Rw,t,,,,f,f,t,f,casual,none,t,t,t,t,2,
JRb-IC8MS-2rAsveFAE9CQ,t,,,,f,t,,f,,none,f,t,f,f,3,
OIBrslaVxFxaaGUsYFUujg,t,,,average,t,f,t,f,casual,full_bar,t,t,t,t,2,
IfqYtKTV6_smGY8gbuYKkg,t,,f,average,f,f,t,f,casual,none,f,t,t,t,1,
1LSxfyNIUFbQb-Ej0FDGTw,t,,t,quiet,t,f,f,t,casual,full_bar,t,t,t,t,2,
76t0p7bQRbHwPLXmIk2DyA,t,f,f,loud,t,f,t,f,casual,full_bar,t,t,t,t,2,
bEYB3PK1IKQS_kYXaGJXNA,t,,,quiet,t,f,f,f,casual,full_bar,t,t,t,t,2,
QGZiJsrHVKFO_B3GLkph8A,t,,t,average,f,f,t,t,casual,full_bar,t,t,t,t,2,
zAyk-fwDWf69AaTwNT2Ksg,t,,,,f,f,t,t,casual,beer_and_wine,t,t,t,t,2,
a8yzGF79KcfyRye2R6wt3Q,t,,f,average,t,t,f,f,casual,full_bar,t,t,t,t,2,
soiGohHtWOltGeomkSxzEw,t,,t,average,f,f,t,t,casual,full_bar,t,t,t,t,2,
fq3TCuBBaKtRnibcSoRHpQ,t,,f,average,t,f,t,f,casual,full_bar,t,t,t,t,2,
OwHqwmHwswArpv3m3dlw_Q,,,,,,f,,t,casual,,t,t,f,t,2,low
Gu1zPvplulUE94w04odUMA,,f,,,f,f,,t,casual,full_bar,t,t,t,t,2,low
VWJqohlU4cXYIpNwYQY-wg,t,,,,,,,f,casual,,f,t,t,f,2,low
kPh2gPvd8moVx6gNf2iHsA,t,,f,average,f,f,t,f,casual,full_bar,t,t,f,t,2,low
Ydc74ermKp1L4fYOrPvzXw,t,,,,f,f,,t,casual,full_bar,t,t,f,t,2,low
77tMP3nG9TH0rrhf6G4g6A,,,,,,f,,,,,,t,,,2,low
ptIRdaZlXxuVJTiJDFJCIw,t,,f,average,f,t,t,t,casual,beer_and_wine,f,t,t,t,1,low
0QTn4pMzKv1mnQifcP9YoQ,t,,t,quiet,t,t,t,f,casual,full_bar,t,t,t,t,2,
j0cSJ3AX6bKM9MmwQOSy1A,t,t,f,,f,f,f,f,formal,,,t,t,t,1,low
4l3eeM1sOACwdJAz4UyIPQ,t,,,,f,t,,t,casual,,f,,t,t,1,low
RiSCxwndylgzfMc3whD0sg,t,,f,average,f,f,f,t,casual,none,f,t,t,t,1,low
O-ylVyHn6e6kaoJO-jHj-w,t,,f,average,t,f,t,t,casual,full_bar,t,t,t,t,2,
VLcQ21rZqTUbrzzE8-XgHg,t,t,f,average,f,f,t,f,casual,none,f,t,t,t,1,low
zUbPimyX-dT1SOyvdSYTTQ,t,t,,,f,t,f,f,casual,,,t,t,t,1,low
pzJCv-ixgSL_z-46F74XrA,t,t,,average,f,f,f,f,casual,none,,t,t,t,1,low
Dz7swOgFook-L89Y_M-aQA,t,,f,average,f,f,f,f,casual,beer_and_wine,f,t,t,t,1,
kcRrA77bAFoKyhQj_gSbMw,t,t,,,f,f,t,t,casual,none,,t,t,t,1,low
0YCV8260mMgN0PxuzAtO3g,t,f,,,f,f,f,f,casual,,f,t,t,t,1,low
g2PqgHDyjj8X8v-gZA7Yhg,t,t,f,average,f,f,t,f,casual,none,f,t,t,t,1,low
eXALA0wNH2LdwpUlGvWsKw,f,,,,f,f,,,,,t,,f,f,,low
Xs__MjMd8MWgJWFqnAN11w,,,,,,f,f,,,,f,,,,1,low
2B0pIRjAt64mFMV-2ZRCfg,t,,,,f,f,,f,casual,none,f,t,t,t,1,low
55seKyxRWUmHC1s52xk45g,t,,f,average,f,f,t,t,casual,full_bar,t,t,t,t,2,low
FmvqqBAU_IuMk5iGp4Y0JQ,t,,,,f,f,,t,casual,none,f,t,t,f,1,low
RDX_MLThtKVPb22TvJh9rQ,t,,t,,f,f,,f,casual,beer_and_wine,f,t,t,t,2,
KPffNxenVXEbKeSeC-zmfQ,t,t,,loud,f,f,t,f,casual,,,t,t,t,1,low
38G8LPiqECn_P6LQfUnfZA,t,,,quiet,f,f,,f,casual,beer_and_wine,t,t,t,t,2,low
-hzkQ8YIkExQse3vX0HOcg,t,,,,f,f,,f,casual,none,t,t,t,f,2,
7Zo1DzdwZlGMxPu1AFMSsw,t,,t,average,f,f,t,t,casual,none,f,t,t,t,1,
uTW9SVXqxgjbnCTlEf9ONw,t,,,average,t,,t,f,casual,full_bar,t,t,t,t,1,
Z8rpy16qv2uzZsNHm7N9cg,t,t,,,f,f,f,f,casual,none,,t,t,t,1,
6tJKZaJXmkzHFr2if1xYGA,t,,,,f,f,,f,casual,none,f,t,t,t,1,
I2YFaSM6axnY2Kb89n_S6g,t,t,f,loud,f,f,t,f,casual,none,f,t,t,t,2,
gFGldPLVQdqbHQodU5TeUw,t,f,t,average,f,f,f,t,casual,beer_and_wine,f,t,t,t,1,
IpI-5jb7m5UGaDB4c5lH9g,f,t,,,f,f,f,f,casual,none,,t,t,t,1,
EOCQ5E0lakUyBvUH0L9--g,,,,,,,,,,,,,t,,,
